idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
626,30.4,49.5,2.8,78.64,95.0,0.24,33.84,17.29,12.72,8.05,6.17,3.61,1.22,1.45,1.25,14.53,0.5,0.16,16.0,30.53
627,10.3,61.2,7.1,96.12,95.0,0.53,44.25,32.97,27.45,4.74,5.45,4.68,1.14,2.11,1.45,11.54,1.96,0.16,30.99,42.53
628,40.6,58.3,2.1,0.06,99.0,0.0,16.07,7.7,7.7,6.51,3.53,2.57,1.09,1.56,1.37,0.69,0.01,0.15,4.01,4.7
629,3.3,73.3,4.1,79.45,95.0,0.29,38.66,31.39,28.09,3.82,3.61,3.45,1.15,1.45,1.06,6.48,1.68,0.16,30.6,37.08
630,36.1,5.5,8.1,49.93,95.0,0.22,60.07,59.97,12.73,0.44,0.34,1.93,2.43,2.49,1.71,43.56,0.31,0.11,16.42,59.98
631,16.8,84.2,8.7,90.23,95.0,0.81,33.53,24.37,20.78,4.08,4.88,3.36,1.22,2.19,1.34,8.88,2.91,0.16,23.18,32.06
632,24.7,1.5,9.1,0.0,0.0,0.0,61.08,61.0,60.93,0.46,0.37,42.06,2.3,2.57,0.0,0,0.0,nan,0,0
633,23.8,87.2,2.7,59.38,95.0,0.24,24.21,17.06,14.46,4.01,3.6,2.93,1.12,1.25,0.95,5.3,1.02,0.17,16.94,22.23
634,9.3,83.2,3.7,72.79,95.0,0.29,32.83,26.08,23.02,3.7,3.44,3.21,1.09,1.29,1.1,5.68,1.58,0.17,25.49,31.17
635,8.2,37.1,6.0,97.77,95.0,0.34,57.88,49.35,37.97,0.45,10.83,6.7,2.75,3.76,1.35,13.56,1.43,0.15,44.29,57.85
636,0.2,52.0,4.5,94.76,95.0,0.28,51.34,41.6,36.23,4.57,4.49,4.46,1.23,1.61,1.25,10.08,1.4,0.16,39.64,49.72
637,25.8,12.1,7.2,8.15,95.0,0.03,59.14,59.02,19.92,0.46,0.36,7.09,2.07,2.91,1.87,6.31,0.31,0.09,52.65,58.96
638,40.8,86.5,3.3,0.09,99.0,0.0,13.69,8.01,8.14,4.51,2.82,2.15,1.08,1.64,1.41,0.65,0.01,0.13,5.08,5.73
