idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
181,15.1,14.1,0.5,0.0,0.0,0.0,52.47,52.44,52.44,0.48,0.41,0.32,2.44,1.92,1.53,0,0.0,nan,0,0
182,15.8,84.0,0.5,58.63,95.0,0.04,27.14,21.16,18.07,3.79,3.28,3.38,1.17,1.15,1.03,4.32,0.22,0.17,20.98,25.3
183,37.5,83.9,0.5,0.0,99.0,0.0,13.99,7.82,7.45,4.47,3.39,2.77,1.15,1.14,1.22,0.31,0.0,0.04,2.64,2.94
184,46.3,71.3,0.5,6.36,99.0,0.03,8.81,4.38,5.35,4.61,2.57,2.29,1.08,1.45,1.19,1.0,0.11,0.16,2.31,3.3
185,14.5,37.2,0.5,96.7,95.0,0.03,52.42,47.67,32.85,0.46,7.84,6.77,1.98,1.61,0.91,12.96,0.12,0.15,39.42,52.38
186,49.9,58.9,0.5,12.96,99.0,0.07,6.94,3.7,4.74,4.43,2.14,2.09,1.25,1.42,1.26,0.85,0.25,0.17,2.25,3.1
187,21.4,27.5,0.5,13.04,95.0,0.0,52.45,52.36,29.22,0.47,0.37,9.7,2.21,2.03,1.04,5.44,0.04,0.12,46.85,52.29
188,5.1,83.5,0.5,48.2,95.0,0.03,31.46,26.17,23.5,3.51,3.04,3.18,1.08,1.03,0.91,3.29,0.24,0.17,26.25,29.54
189,46.8,24.9,0.5,6.15,99.0,0.03,11.33,4.52,5.54,9.4,3.02,2.64,1.49,1.47,1.25,0.98,0.1,0.16,2.32,3.31
190,25.5,19.0,0.5,2.58,95.0,0.0,52.48,52.4,25.7,0.48,0.39,12.43,2.01,1.9,1.29,0.11,0.39,0.14,52.15,52.26
191,47.8,88.4,0.5,9.66,99.0,0.05,7.4,3.98,4.96,3.83,2.24,2.08,1.07,1.46,1.26,0.97,0.16,0.15,2.24,3.21
192,31.5,91.3,0.5,0.0,0.0,0.0,17.14,10.91,9.58,4.03,3.39,2.93,1.03,1.12,1.05,0,0.0,nan,0,0
193,27.5,72.0,0.5,52.71,95.0,0.04,24.21,15.88,12.6,4.8,4.08,3.64,1.16,1.17,1.08,5.78,0.15,0.16,15.95,21.72
194,36.6,45.1,0.5,15.02,95.0,0.01,26.35,10.66,8.83,9.87,5.53,3.65,0.96,1.26,1.18,4.98,0.05,0.14,13.66,18.64
195,32.2,28.6,0.5,91.96,99.0,0.03,52.4,23.81,12.9,0.44,13.45,5.62,2.45,1.4,1.16,33.36,0.05,0.13,18.06,51.42
196,46.3,12.7,0.5,5.02,99.0,0.02,52.36,4.67,5.75,0.4,3.34,2.84,2.81,1.61,1.25,1.09,0.08,0.15,2.24,3.34
197,17.2,29.8,0.5,13.09,95.0,0.0,52.46,52.34,34.49,0.48,0.38,8.93,1.91,2.41,1.16,2.08,0.1,0.1,50.21,52.28
198,48.8,26.0,0.5,10.26,99.0,0.05,8.77,3.95,5.09,7.1,2.54,2.4,1.49,1.54,1.25,0.94,0.18,0.15,2.24,3.19
199,15.0,55.7,0.5,97.52,95.0,0.04,40.82,31.1,24.17,5.1,4.42,4.68,0.93,1.07,0.97,10.96,0.15,0.16,27.69,38.65
200,8.4,16.2,0.5,0.0,0.0,0.0,52.46,52.43,52.46,0.48,0.42,0.36,2.49,1.98,1.67,0,0.0,nan,0,0
201,45.3,49.7,0.5,3.99,99.0,0.02,10.95,4.84,5.76,6.36,3.0,2.56,1.17,1.41,1.11,1.09,0.06,0.16,2.27,3.37
202,45.3,99.6,0.5,5.16,99.0,0.03,8.22,4.55,5.39,3.72,2.42,2.16,1.09,1.28,1.13,1.01,0.08,0.16,2.33,3.34
203,7.0,19.2,0.5,0.0,0.0,0.0,52.48,52.42,52.45,0.49,0.42,0.34,2.05,2.22,1.5,0,0.0,nan,0,0
204,17.1,9.1,0.5,0.0,0.0,0.0,52.47,52.44,52.44,0.48,0.41,0.34,2.41,1.89,1.98,0,0.0,nan,0,0
205,12.9,57.0,0.5,96.65,95.0,0.04,40.64,31.69,25.32,4.86,4.22,4.52,1.15,1.21,1.05,10.02,0.16,0.16,28.8,38.83
206,37.5,41.3,0.5,11.82,95.0,0.01,26.73,10.18,8.47,11.69,5.62,3.64,1.21,1.18,1.26,4.51,0.04,0.13,13.61,18.12
207,26.2,37.7,0.5,99.55,95.0,0.03,52.34,31.62,18.07,0.43,8.78,6.22,2.53,1.18,0.99,29.22,0.06,0.15,23.0,52.22
208,3.1,27.8,0.5,0.0,0.0,0.0,52.46,52.4,52.32,0.48,0.41,0.3,2.24,2.04,1.71,0,0.0,nan,0,0
209,6.3,50.3,0.5,97.87,95.0,0.03,48.41,39.28,32.39,4.87,4.22,4.62,0.94,1.13,1.08,10.38,0.16,0.16,35.98,46.36
210,43.1,21.6,0.5,0.88,99.0,0.0,52.35,6.09,6.58,0.4,4.34,3.21,2.7,1.51,1.29,1.13,0.01,0.15,2.29,3.42
211,12.4,40.0,0.5,99.72,95.0,0.03,52.38,45.34,32.86,0.45,5.64,6.13,2.38,1.16,1.2,14.59,0.11,0.16,37.75,52.34
212,47.7,84.9,0.5,9.36,99.0,0.05,7.42,4.07,5.07,3.94,2.28,2.11,1.22,1.33,1.09,0.98,0.16,0.17,2.23,3.22
213,1.1,3.2,0.5,0.0,0.0,0.0,52.47,52.43,52.53,0.48,0.42,0.45,2.74,2.39,1.76,0,0.0,nan,0,0
214,44.8,47.3,0.5,3.12,99.0,0.02,11.85,5.05,5.86,6.85,3.15,2.63,1.11,1.39,1.19,1.06,0.05,0.16,2.33,3.39
215,0.0,39.2,0.5,81.06,95.0,0.03,52.4,52.27,42.82,0.47,0.4,5.03,2.56,1.72,1.02,5.48,0.24,0.16,46.86,52.35
216,41.3,85.5,0.5,0.35,99.0,0.0,11.2,6.05,6.36,4.36,3.02,2.52,1.16,1.12,1.2,1.1,0.01,0.15,2.31,3.41
217,12.4,10.9,0.5,0.0,0.0,0.0,52.48,52.42,52.48,0.48,0.42,0.37,2.12,2.34,1.59,0,0.0,nan,0,0
218,26.1,68.2,0.5,68.16,95.0,0.05,26.7,17.84,13.64,4.96,4.24,3.88,1.04,1.03,1.19,7.22,0.16,0.16,17.06,24.28
219,36.1,64.7,0.5,0.0,99.0,0.0,18.8,9.7,8.42,5.8,4.23,3.2,1.0,1.1,1.22,0.18,0.0,0.0,2.55,2.73
220,22.9,55.2,0.5,95.38,95.0,0.05,36.35,24.87,17.93,5.84,5.01,4.76,1.01,1.03,0.94,12.42,0.13,0.16,21.52,33.94
221,39.1,23.3,0.5,17.79,95.0,0.01,52.39,9.64,8.25,0.42,6.84,3.92,2.21,1.4,1.22,15.2,0.02,0.14,13.8,28.99
222,32.3,30.4,0.5,90.13,95.0,0.03,52.4,22.53,12.66,0.43,11.87,5.43,2.29,1.28,1.17,34.75,0.04,0.14,17.59,52.34
223,12.6,63.6,0.5,91.04,95.0,0.04,36.65,28.95,23.6,4.46,3.86,4.13,1.19,1.09,1.17,8.03,0.19,0.17,26.94,34.96
224,5.6,7.0,0.5,0.0,0.0,0.0,52.48,52.44,52.51,0.48,0.42,0.43,2.38,2.06,1.9,0,0.0,nan,0,0
225,29.1,38.8,0.5,95.75,95.0,0.03,52.32,24.64,14.59,0.42,8.49,5.47,2.32,1.17,1.15,26.26,0.06,0.15,19.23,45.48
226,30.1,1.0,0.5,0.0,0.0,0.0,52.47,52.41,52.36,0.47,0.39,0.26,2.67,2.52,1.58,0,0.0,nan,0,0
227,23.0,95.9,0.5,23.56,95.0,0.02,20.95,15.32,13.14,3.65,3.16,3.06,1.16,1.23,1.15,2.1,0.19,0.14,16.42,18.52
228,44.2,47.5,0.5,2.29,99.0,0.01,12.51,5.31,6.01,7.05,3.27,2.69,1.12,1.33,1.19,1.13,0.03,0.15,2.27,3.41
