idx,Bstart [%],Bend [%],Vload [CV],Yield [%],Purity [%],Prod [g/(l*CV)],tretA [CV],tretBC [CV],tretD [CV],peakwidthA [CV],peakwidthBC [CV],peakwidthD [CV],assymetryA [-],assymetryBC [-],assymetryD [-],poolVolume [CV],poolConcBC [g/l],poolConcSalt [M],cut1 [CV],cut2 [CV]
739,17.4,45.0,3.9,99.76,95.0,0.29,47.5,21.53,11.23,11.66,16.88,5.23,2.55,4.55,3.63,27.78,0.47,0.14,17.51,45.29
740,2.7,89.1,5.9,99.45,95.0,0.61,33.27,24.64,6.47,4.58,11.62,0.24,1.29,0.65,1.41,15.06,1.28,0.14,16.67,31.73
741,48.0,44.0,6.2,0.0,0.0,0.0,10.94,8.19,8.0,6.21,0.51,1.68,1.2,2.39,0.1,0,0.0,nan,0,0
742,12.5,4.4,9.3,13.12,95.0,0.07,61.23,61.17,6.66,0.44,0.39,1.13,2.19,1.87,3.14,46.04,0.09,0.07,15.04,61.08
743,42.7,31.5,9.0,0.0,0.0,0.0,11.01,10.91,6.66,9.06,0.53,1.13,57.39,2.49,3.14,0,0.0,nan,0,0
744,40.8,30.4,6.1,28.49,95.0,0.52,16.63,8.04,7.86,13.28,0.62,0.25,1.45,3.12,2.19,1.94,2.94,0.14,9.0,10.94
745,48.0,49.6,9.5,0.0,0.0,0.0,11.52,11.42,6.66,3.16,0.5,1.13,17.75,2.11,3.14,0,0.0,nan,0,0
746,12.1,39.0,7.2,89.29,95.0,0.4,59.04,7.72,6.66,0.44,0.5,1.13,2.43,0.58,3.14,43.94,0.49,0.12,9.61,53.55
747,11.1,30.9,8.8,66.84,95.0,0.32,60.66,9.03,6.66,0.45,2.01,1.13,1.99,0.27,3.14,49.25,0.39,0.11,11.27,60.52
748,24.2,79.3,2.5,90.18,95.0,0.33,24.25,13.37,10.0,4.75,5.75,2.66,1.32,2.44,1.31,10.49,0.71,0.16,12.12,22.62
749,8.7,35.8,1.9,96.51,95.0,0.12,53.84,53.72,31.69,0.46,11.69,7.32,2.65,0.02,1.6,14.42,0.43,0.15,39.39,53.82
750,48.6,29.1,5.7,0.0,0.0,0.0,10.26,7.62,7.46,6.42,0.53,0.26,1.37,2.69,1.99,0,0.0,nan,0,0
751,5.7,53.4,3.9,99.51,95.0,0.29,46.06,30.87,20.0,5.82,11.35,7.97,1.3,2.01,3.17,17.75,0.73,0.15,26.47,44.22
752,20.2,6.5,1.3,0.0,0.0,0.0,53.3,53.24,53.19,0.47,0.39,0.27,2.1,2.12,1.45,0,0.0,nan,0,0
753,41.3,35.1,2.5,0.0,0.0,0.0,16.89,5.67,5.58,12.0,2.48,1.29,1.32,2.96,2.15,0,0.0,nan,0,0
754,9.6,28.4,2.4,56.99,95.0,0.09,54.37,54.27,32.37,0.47,0.38,9.88,2.59,1.9,1.96,7.53,0.61,0.13,46.77,54.3
755,1.7,66.4,3.5,97.77,95.0,0.29,39.86,28.41,22.18,4.56,7.6,5.52,1.34,2.72,2.39,12.19,0.92,0.16,26.22,38.41
756,7.8,70.6,1.0,85.2,95.0,0.09,35.13,27.04,23.15,4.08,3.86,3.74,1.08,1.56,1.23,7.47,0.38,0.16,25.97,33.44
757,13.5,83.5,1.4,81.77,95.0,0.14,28.35,20.64,17.41,3.88,3.88,3.28,1.18,1.65,1.17,6.98,0.53,0.16,19.82,26.8
758,22.2,83.6,8.1,71.85,95.0,0.81,27.61,10.01,6.66,7.47,3.11,1.13,0.99,0.24,3.14,13.54,1.42,0.14,10.18,23.72
759,8.0,35.3,7.3,89.46,95.0,0.36,59.12,7.76,6.66,0.44,0.53,1.13,2.2,0.53,3.14,48.99,0.44,0.12,10.02,59.0
760,18.8,95.8,2.2,85.31,95.0,0.28,23.5,15.38,12.55,3.81,4.38,2.74,1.1,2.07,1.1,7.38,0.83,0.16,14.52,21.9
761,47.5,50.5,2.4,0.0,0.0,0.0,8.97,4.89,5.12,6.14,1.48,1.23,1.05,2.32,2.03,0,0.0,nan,0,0
762,22.6,13.1,7.1,59.68,95.0,0.24,59.01,58.93,6.66,0.45,0.37,1.13,2.51,2.4,3.14,49.37,0.28,0.1,9.56,58.94
763,13.0,90.0,5.9,99.32,95.0,0.71,29.14,19.82,6.49,4.99,12.8,0.26,1.37,0.62,1.34,16.3,1.19,0.14,11.24,27.54
764,18.4,24.6,6.1,87.67,95.0,0.31,58.04,57.93,6.59,0.45,0.37,1.95,2.23,2.34,8.41,48.54,0.37,0.12,9.44,57.98
765,10.6,87.2,1.3,76.9,95.0,0.12,28.49,21.49,18.63,3.68,3.62,3.07,1.11,1.43,0.97,6.1,0.55,0.16,20.81,26.91
766,25.7,54.3,2.8,95.26,95.0,0.29,32.98,13.77,9.39,7.44,8.62,2.96,1.34,3.88,1.81,18.46,0.47,0.15,12.12,30.58
767,38.6,38.5,6.6,55.95,95.0,0.9,18.97,8.55,6.67,14.01,0.57,2.05,1.5,2.75,6.15,4.66,2.63,0.15,8.96,13.62
768,28.4,31.1,4.0,91.05,98.0,0.26,55.82,10.29,7.22,0.43,8.06,1.46,2.32,3.87,2.79,35.73,0.33,0.13,9.45,45.18
769,4.3,17.7,8.5,34.48,95.0,0.16,60.45,60.36,6.66,0.45,0.39,1.13,2.0,2.08,3.14,44.31,0.22,0.09,16.01,60.32
770,16.1,66.3,1.2,92.59,95.0,0.11,33.5,23.39,18.47,4.69,4.63,4.15,1.08,1.57,1.24,10.07,0.36,0.16,21.59,31.66
771,28.1,36.1,5.1,87.58,95.0,0.36,56.88,8.97,7.18,0.42,6.17,0.57,2.38,3.8,3.86,31.97,0.46,0.14,8.79,40.76
772,14.8,6.6,3.2,0.0,0.0,0.0,55.13,55.08,55.01,0.45,0.37,0.26,2.5,2.29,1.92,0,0.0,nan,0,0
773,11.3,12.6,7.2,36.24,95.0,0.15,59.13,59.03,6.66,0.45,0.38,1.13,2.01,2.23,3.14,47.56,0.18,0.09,11.44,59.0
774,14.1,40.3,9.1,62.95,95.0,0.41,60.93,9.03,6.66,0.44,2.34,1.13,2.15,0.47,3.14,35.15,0.54,0.12,11.42,46.57
775,38.7,88.3,8.6,0.0,0.0,0.0,16.47,10.57,6.66,7.43,0.58,1.13,1.09,2.3,3.14,0,0.0,nan,0,0
776,6.6,27.7,0.4,0.0,0.0,0.0,52.34,52.28,52.2,0.48,0.4,0.29,2.48,2.19,1.44,0,0.0,nan,0,0
777,34.0,66.4,3.6,56.93,95.0,0.41,19.83,7.85,6.48,6.81,4.96,0.99,1.3,2.16,1.92,7.93,0.85,0.15,8.62,16.55
778,20.6,65.9,7.0,88.54,95.0,0.7,32.71,8.95,6.66,8.43,2.12,1.13,1.17,0.41,3.14,20.17,1.02,0.14,9.16,29.33
779,12.4,84.7,3.6,96.89,95.0,0.41,29.53,19.03,13.73,4.29,7.08,4.41,1.22,2.59,2.36,11.02,1.04,0.16,17.03,28.05
780,31.4,18.2,1.2,81.02,95.0,0.06,53.19,53.05,10.29,0.45,0.35,4.17,2.23,2.75,1.41,38.12,0.09,0.12,15.0,53.13
781,45.6,73.4,7.2,0.0,0.0,0.0,12.27,9.08,6.66,6.46,0.52,1.13,1.01,2.32,3.14,0,0.0,nan,0,0
